@relation flags_ml_3

@attribute landmass character
@attribute zone character
@attribute area numeric
@attribute population numeric
@attribute language character
@attribute religion character
@attribute bars numeric
@attribute stripes numeric
@attribute colours numeric
@attribute circles numeric
@attribute crosses numeric
@attribute saltires numeric
@attribute quarters numeric
@attribute sunstars numeric
@attribute crescent character
@attribute triangle character
@attribute icon character
@attribute animate character
@attribute text character
@attribute red {0,1}
@attribute green {0,1}
@attribute blue {0,1}
@attribute yellow {0,1}
@attribute white {0,1}
@attribute black {0,1}
@attribute orange {0,1}

@data
6,1,   0,  0,10,1,0,0,3,0,0,0,0, 1,0,0,1,0,0,0,0,1,0,1,0,0
2,4,   5,  1,1,1,0,0,3,0,0,0,0, 0,0,1,0,0,0,1,0,0,0,1,1,0
4,4,   4,  0,6,0,1,2,5,0,0,0,0, 1,0,0,0,1,0,1,1,0,1,0,1,1
3,1, 128, 15,5,6,0,0,3,0,0,0,0, 0,0,1,0,0,0,1,0,1,0,1,0,0
4,2,  28,  4,10,5,0,0,3,1,0,1,0, 3,0,0,0,0,0,1,1,0,0,1,0,0
3,1,  31, 10,6,0,3,0,3,0,0,0,0, 0,0,0,0,0,0,1,0,0,1,0,1,0
6,2,  15,  0,6,1,0,0,4,0,0,0,0, 0,0,1,0,1,0,1,1,0,1,0,1,0
4,2, 268,  1,10,5,0,3,3,0,0,0,0, 0,0,0,0,0,0,0,1,1,1,0,0,0
4,1, 623,  2,10,5,1,0,5,0,0,0,0, 1,0,0,0,0,0,1,1,1,1,1,0,0
5,1, 372,118,9,7,0,0,2,1,0,0,0, 1,0,0,0,0,0,1,0,0,0,1,0,0
4,1,1222, 31,10,1,0,3,3,0,0,0,0, 0,0,0,0,0,0,1,1,0,1,0,0,0
4,2,   2,  0,3,2,0,0,2,0,0,0,0, 4,1,0,0,0,0,0,1,0,0,1,0,0
6,1, 300, 48,10,0,0,0,4,0,0,0,0, 4,0,1,0,0,0,1,0,1,1,1,0,0
5,1, 435, 14,8,2,0,3,4,0,0,0,0, 3,0,0,0,0,0,1,1,0,0,1,1,0
1,4,  49,  6,2,0,0,0,3,0,1,0,0, 0,0,0,0,0,0,1,0,1,0,1,0,0
4,2, 600,  1,10,5,0,5,3,0,0,0,0, 0,0,0,0,0,0,0,0,1,0,1,1,0
4,1, 637,  5,10,2,0,0,2,0,0,0,0, 1,0,0,0,0,0,0,0,1,0,1,0,0
2,4, 912, 15,2,0,0,3,7,0,0,0,0, 7,0,0,1,1,0,1,1,1,1,1,1,1
1,4,   0,  0,1,1,0,0,6,1,0,0,0,10,0,0,0,1,0,1,1,1,1,1,1,0
3,1, 547, 54,3,0,3,0,3,0,0,0,0, 0,0,0,0,0,0,1,0,1,0,1,0,0
