@relation flags_ml_5

@attribute landmass character
@attribute zone character
@attribute area numeric
@attribute population numeric
@attribute language character
@attribute religion character
@attribute bars numeric
@attribute stripes numeric
@attribute colours numeric
@attribute circles numeric
@attribute crosses numeric
@attribute saltires numeric
@attribute quarters numeric
@attribute sunstars numeric
@attribute crescent character
@attribute triangle character
@attribute icon character
@attribute animate character
@attribute text character
@attribute red {0,1}
@attribute green {0,1}
@attribute blue {0,1}
@attribute yellow {0,1}
@attribute white {0,1}
@attribute black {0,1}
@attribute orange {0,1}

@data
4,1,1267,  5,3,2,0, 3,3,1,0,0,0, 0,0,0,0,0,0,0,1,0,0,1,0,1
2,4,  63,  0,6,1,0, 5,4,0,0,0,0, 1,0,0,0,0,0,1,1,0,1,1,0,0
5,1,1648, 39,6,2,0, 3,3,0,0,0,0, 0,0,0,1,0,1,1,1,0,0,1,0,0
1,4, 115, 10,2,6,0, 5,3,0,0,0,0, 1,0,1,0,0,0,1,0,1,0,1,0,0
4,2, 753,  6,10,5,3, 0,4,0,0,0,0, 0,0,0,0,1,0,1,1,0,0,0,1,1
1,4,   0,  0,1,1,0, 0,6,1,1,1,1, 4,0,0,1,1,1,1,1,1,1,1,0,1
4,2, 342,  2,10,5,0, 0,3,0,0,0,0, 1,0,0,1,1,0,1,1,0,1,0,0,0
5,1,   1,  3,7,3,0, 2,2,0,0,0,0, 5,1,0,0,0,0,1,0,0,0,1,0,0
5,1,  36, 18,7,3,0, 0,3,1,0,0,1, 1,0,0,0,0,0,1,0,1,0,1,0,0
1,4,   0,  0,1,1,0, 0,6,0,0,0,0, 0,0,0,1,1,1,1,1,1,1,1,0,0
6,1,   0,  0,1,1,0, 0,4,0,0,0,0, 1,0,0,1,1,0,1,0,1,1,1,0,0
4,1, 113,  3,3,5,0, 0,2,0,0,0,0, 1,0,0,0,0,0,1,1,0,0,0,0,0
4,4,  72,  3,1,5,0, 3,3,0,0,0,0, 0,0,0,0,0,0,0,1,1,0,1,0,0
1,4, 109,  8,2,0,3, 0,2,0,0,0,0, 0,0,0,0,0,0,0,0,1,0,1,0,0
5,1,  18,  2,8,2,0, 3,4,0,0,0,0, 0,0,0,0,0,0,1,1,0,0,1,1,0
4,2,  26,  5,10,5,3, 0,4,0,0,0,0, 0,0,0,0,0,1,1,1,0,1,0,1,0
3,1, 108, 17,4,6,0, 3,3,0,0,0,0, 0,0,0,1,0,0,1,0,0,1,0,1,0
1,4,   0,  0,1,1,0, 0,7,0,2,1,1, 0,0,0,1,1,0,1,1,1,1,1,1,0
1,4,9363,231,1,1,0,13,3,0,0,0,1,50,0,0,0,0,0,1,0,1,0,1,0,0
