@relation flags_ml_8

@attribute landmass character
@attribute zone character
@attribute area numeric
@attribute population numeric
@attribute language character
@attribute religion character
@attribute bars numeric
@attribute stripes numeric
@attribute colours numeric
@attribute circles numeric
@attribute crosses numeric
@attribute saltires numeric
@attribute quarters numeric
@attribute sunstars numeric
@attribute crescent character
@attribute triangle character
@attribute icon character
@attribute animate character
@attribute text character
@attribute red {0,1}
@attribute green {0,1}
@attribute blue {0,1}
@attribute yellow {0,1}
@attribute white {0,1}
@attribute black {0,1}
@attribute orange {0,1}

@data
4,4,   4, 0,6,0,1,2,5,0,0,0,0, 1,0,0,0,1,0,1,1,0,1,0,1,1
5,1,  11, 0,8,2,0,0,2,0,0,0,0, 0,0,0,0,0,0,0,0,0,0,1,0,1
1,4,   0, 0,1,1,0,0,6,1,1,1,1, 0,0,0,1,1,0,1,1,1,1,1,1,0
4,4,  36, 1,6,5,1,2,4,0,0,0,0, 1,0,0,0,0,0,1,1,0,1,0,1,0
4,2, 783,12,10,5,0,5,5,0,0,0,0, 1,0,1,1,0,0,1,1,0,1,1,1,0
1,4,   0, 0,1,1,0,0,5,0,0,0,0, 2,0,1,0,0,0,1,1,0,1,1,1,0
4,2, 391, 8,10,5,0,7,5,0,0,0,0, 1,0,1,1,1,0,1,1,0,1,1,1,0
4,1,1222,31,10,1,0,3,3,0,0,0,0, 0,0,0,0,0,0,1,1,0,1,0,0,0
4,4,1031, 2,8,2,0,0,2,0,0,0,0, 1,1,0,0,0,0,0,1,0,1,0,0,0
3,1, 450, 8,6,1,0,0,2,0,1,0,0, 0,0,0,0,0,0,0,0,1,1,0,0,0
3,1, 256,22,6,6,0,3,4,0,0,0,0, 1,0,0,0,0,0,1,0,1,1,1,0,0
5,1,   0, 0,10,2,0,0,3,0,0,0,0, 0,1,0,0,0,0,1,1,0,0,1,0,0
2,3,2777,28,2,0,0,3,2,0,0,0,0, 0,0,0,0,0,0,0,0,1,0,1,0,0
5,1, 678,35,10,3,0,0,3,0,0,0,1,14,0,0,1,1,0,1,0,1,0,1,0,0
1,4, 115,10,2,6,0,5,3,0,0,0,0, 1,0,1,0,0,0,1,0,1,0,1,0,0
3,1, 547,54,3,0,3,0,3,0,0,0,0, 0,0,0,0,0,0,1,0,1,0,1,0,0
5,1,  21, 4,10,7,0,2,2,0,0,0,0, 1,0,0,0,0,0,0,0,1,0,1,0,0
5,1, 121,18,10,6,0,5,3,1,0,0,0, 1,0,0,0,0,0,1,0,1,0,1,0,0
3,4, 245,56,1,1,0,0,3,0,1,1,0, 0,0,0,0,0,0,1,0,1,0,1,0,0
