@relation flags_ml_9

@attribute landmass character
@attribute zone character
@attribute area numeric
@attribute population numeric
@attribute language character
@attribute religion character
@attribute bars numeric
@attribute stripes numeric
@attribute colours numeric
@attribute circles numeric
@attribute crosses numeric
@attribute saltires numeric
@attribute quarters numeric
@attribute sunstars numeric
@attribute crescent character
@attribute triangle character
@attribute icon character
@attribute animate character
@attribute text character
@attribute red {0,1}
@attribute green {0,1}
@attribute blue {0,1}
@attribute yellow {0,1}
@attribute white {0,1}
@attribute black {0,1}
@attribute orange {0,1}

@data
5,1,   1, 5,7,3,0,0,6,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
5,1, 140,16,10,4,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1
4,2, 905,28,10,5,0,0,4,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
1,4,  19, 0,1,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
3,1, 108,17,4,6,0,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
5,1,  18, 2,8,2,0,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
5,1,  99,39,10,7,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
6,2,  15, 0,6,1,0,0,4,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
4,2, 342, 2,10,5,0,0,3,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0
5,1, 181, 6,10,3,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
3,4,  92,10,6,0,0,0,5,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
1,4,   0, 0,1,1,0,0,6,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
5,1,1648,39,6,2,0,3,3,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
4,1, 925,56,10,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,4,  21, 5,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,4, 112, 4,2,0,0,3,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0
1,4,   0, 0,6,1,0,1,3,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0
5,1, 514,49,10,3,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
3,1, 313,36,5,6,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
