Generation, Fitness
0,0.9430257081985474
1,0.9430257081985474
2,0.9430257081985474
3,0.9430257081985474
4,0.9430257081985474
5,0.9430257081985474
6,0.9430257081985474
7,0.9430257081985474
8,0.9430257081985474
9,0.9430257081985474
10,0.9430257081985474
11,0.9430257081985474
12,0.9430257081985474
13,0.9430257081985474
14,0.9430257081985474
15,0.9430257081985474
16,0.9430257081985474
17,0.9430257081985474
18,0.9430257081985474
19,0.9430257081985474
20,0.9430257081985474
21,0.9430257081985474
22,0.9430257081985474
23,0.9430257081985474
24,0.9430257081985474
25,0.9430257081985474
26,0.9430257081985474
27,0.9430257081985474
28,0.9430257081985474
29,0.9430257081985474
30,0.9430257081985474
31,0.9430257081985474
32,0.9430257081985474
33,0.9430257081985474
34,0.9430257081985474
35,0.9430257081985474
36,0.9430257081985474
37,0.9430257081985474
38,0.9430257081985474
39,0.9430257081985474
40,0.9430257081985474
41,0.9430257081985474
42,0.9430257081985474
43,0.9430257081985474
44,0.9430257081985474
45,0.9430257081985474
46,0.9430257081985474
47,0.9430257081985474
48,0.9430257081985474
49,0.9430257081985474
50,0.9430257081985474
51,0.9430257081985474
